"event_id","company_group_id","department","department_record_id","pan","gstin","event_type","event_date","event_status","remarks"
"EVT-00061","CG-0091","BESCOM","BESCOM-0091-3","","","water_usage","2025-10-29","completed","Synthetic water usage event for prototype lookup."
"EVT-00062","CG-0093","Factories","FACTORIES-0093-2","DPUAG1093S","29DPUAG1093S1Z3","license_cancelled","2025-10-26","completed","Synthetic license cancelled event for prototype lookup."
"EVT-00063","CG-0095","Shops and Establishments","SHOPS-0095-1","BADPAN095","29DRWCI1095U1Z5","license_update","2025-10-23","completed","Synthetic license update event for prototype lookup."
"EVT-00064","CG-0096","Factories","FACTORIES-0096-2","DSXDJ1096V","29DSXDJ1096V1Z6","compliance_filing","2025-10-20","completed","Synthetic compliance filing event for prototype lookup."
"EVT-00065","CG-0098","Shops and Establishments","SHOPS-0098-1","BADPAN098","29DUZFL1098X1Z8","license_cancelled","2025-10-17","completed","Synthetic license cancelled event for prototype lookup."
"EVT-00066","CG-0099","BWSSB","BWSSB-0099-3","DVAGM1099Y","29DVAGM1099Y1Z9","license_cancelled","2025-10-14","completed","Synthetic license cancelled event for prototype lookup."
"EVT-00067","CG-0101","Shops and Establishments","SHOPS-0101-1","BADPAN101","29DXCIO1101A1Z1","compliance_filing","2025-10-11","completed","Synthetic compliance filing event for prototype lookup."
"EVT-00068","CG-0102","Labour","LABOUR-0102-3","DYDJP1102B","29DYDJP1102B1Z2","license_cancelled","2025-10-08","completed","Synthetic license cancelled event for prototype lookup."
"EVT-00069","CG-0104","Factories","FACTORIES-0104-2","EAFLR1104D","29EAFLR1104D1Z4","license_update","2025-10-05","completed","Synthetic license update event for prototype lookup."
"EVT-00070","CG-0105","BESCOM","BESCOM-0105-4","EBGMS1105E","29EBGMS1105E1Z5","water_usage","2025-10-02","completed","Synthetic water usage event for prototype lookup."
"EVT-00071","CG-0107","Factories","FACTORIES-0107-2","EDIOU1107G","29EDIOU1107G1Z7","license_cancelled","2025-09-29","completed","Synthetic license cancelled event for prototype lookup."
"EVT-00072","CG-0109","Shops and Establishments","SHOPS-0109-1","EFKQW1109I","29BADGSTIN109XX","license_cancelled","2025-09-26","completed","Synthetic license cancelled event for prototype lookup."
"EVT-00073","CG-0110","Labour","LABOUR-0110-3","EGLRX1110J","29EGLRX1110J1Z0","closure_application","2025-09-23","submitted","Synthetic closure application event for prototype lookup."
"EVT-00074","CG-0112","Shops and Establishments","SHOPS-0112-1","EINTZ1112L","29BADGSTIN112XX","license_cancelled","2025-09-20","completed","Synthetic license cancelled event for prototype lookup."
"EVT-00075","CG-0113","Labour","LABOUR-0113-3","EJOUA1113M","29EJOUA1113M1Z3","renewal","2025-09-17","completed","Synthetic renewal event for prototype lookup."
"EVT-00076","CG-0115","Factories","FACTORIES-0115-2","ELQWC1115O","29ELQWC1115O1Z5","water_usage","2025-09-14","completed","Synthetic water usage event for prototype lookup."
"EVT-00077","CG-0116","Labour","LABOUR-0116-3","EMRXD1116P","29EMRXD1116P1Z6","inspection","2025-09-11","completed","Synthetic inspection event for prototype lookup."
"EVT-00078","CG-0118","Factories","FACTORIES-0118-2","EOTZF1118R","29EOTZF1118R1Z8","license_update","2025-09-08","completed","Synthetic license update event for prototype lookup."
"EVT-00079","CG-0120","Shops and Establishments","SHOPS-0120-1","EQVBH1120T","29EQVBH1120T1Z0","water_usage","2025-09-05","completed","Synthetic water usage event for prototype lookup."
"EVT-00080","AMB-002","BWSSB","BWSSB-9002","","","water_usage","2025-09-02","completed","Synthetic water usage event for prototype lookup."
"EVT-00081","AMB-007","BESCOM","BESCOM-9007","","","license_update","2025-08-30","completed","Synthetic license update event for prototype lookup."
"EVT-00082","AMB-012","BWSSB","BWSSB-9012","","","license_update","2025-08-27","completed","Synthetic license update event for prototype lookup."
"EVT-00083","AMB-017","BESCOM","BESCOM-9017","","","license_cancelled","2025-08-24","completed","Synthetic license cancelled event for prototype lookup."
"EVT-00084","AMB-022","BWSSB","BWSSB-9022","","","license_cancelled","2025-08-21","completed","Synthetic license cancelled event for prototype lookup."
"EVT-00085","AMB-027","BESCOM","BESCOM-9027","","","compliance_filing","2025-08-18","completed","Synthetic compliance filing event for prototype lookup."
"EVT-00086","AMB-032","BWSSB","BWSSB-9032","","","compliance_filing","2025-08-15","completed","Synthetic compliance filing event for prototype lookup."
"EVT-00087","CG-0001","Shops and Establishments","SHOPS-0001-1","ABGMS1001E","29ABGMS1001E1Z1","electricity_usage","2025-08-12","completed","Synthetic electricity usage event for prototype lookup."
"EVT-00088","CG-0002","Shops and Establishments","SHOPS-0002-1","ACHNT1002F","29ACHNT1002F1Z2","water_usage","2025-08-09","completed","Synthetic water usage event for prototype lookup."
"EVT-00089","CG-0003","Shops and Establishments","SHOPS-0003-1","ADIOU1003G","29ADIOU1003G1Z3","pollution_consent","2025-08-06","completed","Synthetic pollution consent event for prototype lookup."
"EVT-00090","CG-0004","Shops and Establishments","SHOPS-0004-1","AEJPV1004H","29AEJPV1004H1Z4","license_update","2025-08-03","completed","Synthetic license update event for prototype lookup."
"EVT-00091","CG-0005","Shops and Establishments","SHOPS-0005-1","AFKQW1005I","29AFKQW1005I1Z5","closure_application","2025-07-31","submitted","Synthetic closure application event for prototype lookup."
"EVT-00092","CG-0006","Shops and Establishments","SHOPS-0006-1","AGLRX1006J","29AGLRX1006J1Z6","license_cancelled","2025-07-28","completed","Synthetic license cancelled event for prototype lookup."
"EVT-00093","CG-0007","Shops and Establishments","SHOPS-0007-1","AHMSY1007K","29AHMSY1007K1Z7","renewal","2025-07-25","completed","Synthetic renewal event for prototype lookup."
"EVT-00094","CG-0008","Shops and Establishments","SHOPS-0008-1","AINTZ1008L","29AINTZ1008L1Z8","compliance_filing","2025-07-22","completed","Synthetic compliance filing event for prototype lookup."
"EVT-00095","CG-0009","Shops and Establishments","SHOPS-0009-1","AJOUA1009M","29AJOUA1009M1Z9","inspection","2025-07-19","completed","Synthetic inspection event for prototype lookup."
"EVT-00096","CG-0010","Labour","LABOUR-0010-3","AKPVB1010N","29AKPVB1010N1Z0","electricity_usage","2025-07-16","completed","Synthetic electricity usage event for prototype lookup."
"EVT-00097","CG-0012","Shops and Establishments","SHOPS-0012-1","AMRXD1012P","29AMRXD1012P1Z2","water_usage","2025-07-13","completed","Synthetic water usage event for prototype lookup."
"EVT-00098","CG-0013","Labour","LABOUR-0013-3","ANSYE1013Q","29ANSYE1013Q1Z3","pollution_consent","2025-07-10","completed","Synthetic pollution consent event for prototype lookup."
"EVT-00099","CG-0015","Factories","FACTORIES-0015-2","APUAG1015S","29APUAG1015S1Z5","renewal","2025-07-07","completed","Synthetic renewal event for prototype lookup."
"EVT-00100","CG-0016","Labour","LABOUR-0016-3","AQVBH1016T","","closure_application","2025-07-04","submitted","Synthetic closure application event for prototype lookup."
"EVT-00101","CG-0018","Factories","FACTORIES-0018-2","ASXDJ1018V","29ASXDJ1018V1Z8","inspection","2025-07-01","completed","Synthetic inspection event for prototype lookup."
"EVT-00102","CG-0020","Shops and Establishments","SHOPS-0020-1","AUZFL1020X","29AUZFL1020X1Z0","renewal","2025-06-28","completed","Synthetic renewal event for prototype lookup."
"EVT-00103","CG-0021","Factories","FACTORIES-0021-2","AVAGM1021Y","29AVAGM1021Y1Z1","water_usage","2025-06-25","completed","Synthetic water usage event for prototype lookup."
"EVT-00104","CG-0023","Shops and Establishments","SHOPS-0023-1","AXCIO1023A","29AXCIO1023A1Z3","inspection","2025-06-22","completed","Synthetic inspection event for prototype lookup."
"EVT-00105","CG-0024","Labour","LABOUR-0024-3","AYDJP1024B","","electricity_usage","2025-06-19","completed","Synthetic electricity usage event for prototype lookup."
"EVT-00106","CG-0026","Shops and Establishments","SHOPS-0026-1","BAFLR1026D","29BAFLR1026D1Z6","water_usage","2025-06-16","completed","Synthetic water usage event for prototype lookup."
"EVT-00107","CG-0027","Labour","LABOUR-0027-3","BBGMS1027E","29BBGMS1027E1Z7","pollution_consent","2025-06-13","completed","Synthetic pollution consent event for prototype lookup."
"EVT-00108","CG-0029","Factories","FACTORIES-0029-2","BDIOU1029G","29BDIOU1029G1Z9","renewal","2025-06-10","completed","Synthetic renewal event for prototype lookup."
"EVT-00109","CG-0030","KSPCB","KSPCB-0030-4","","29BEJPV1030H1Z0","license_update","2025-06-07","completed","Synthetic license update event for prototype lookup."
"EVT-00110","CG-0032","Factories","FACTORIES-0032-2","BGLRX1032J","29BGLRX1032J1Z2","inspection","2025-06-04","completed","Synthetic inspection event for prototype lookup."
"EVT-00111","CG-0034","Shops and Establishments","SHOPS-0034-1","BINTZ1034L","29BINTZ1034L1Z4","renewal","2025-06-01","completed","Synthetic renewal event for prototype lookup."
"EVT-00112","CG-0035","Labour","LABOUR-0035-3","BJOUA1035M","29BJOUA1035M1Z5","compliance_filing","2025-05-29","completed","Synthetic compliance filing event for prototype lookup."
"EVT-00113","CG-0037","Shops and Establishments","SHOPS-0037-1","BLQWC1037O","29BLQWC1037O1Z7","inspection","2025-05-26","completed","Synthetic inspection event for prototype lookup."
"EVT-00114","CG-0038","Labour","LABOUR-0038-3","BMRXD1038P","29BMRXD1038P1Z8","electricity_usage","2025-05-23","completed","Synthetic electricity usage event for prototype lookup."
"EVT-00115","CG-0040","Factories","FACTORIES-0040-2","BOTZF1040R","29BOTZF1040R1Z0","closure_application","2025-05-20","submitted","Synthetic closure application event for prototype lookup."
"EVT-00116","CG-0041","Labour","LABOUR-0041-3","BPUAG1041S","29BPUAG1041S1Z1","pollution_consent","2025-05-17","completed","Synthetic pollution consent event for prototype lookup."
"EVT-00117","CG-0043","Factories","FACTORIES-0043-2","BRWCI1043U","29BRWCI1043U1Z3","renewal","2025-05-14","completed","Synthetic renewal event for prototype lookup."
"EVT-00118","CG-0045","Shops and Establishments","SHOPS-0045-1","BTYEK1045W","29BTYEK1045W1Z5","closure_application","2025-05-11","submitted","Synthetic closure application event for prototype lookup."
"EVT-00119","CG-0046","Factories","FACTORIES-0046-2","BUZFL1046X","29BUZFL1046X1Z6","inspection","2025-05-08","completed","Synthetic inspection event for prototype lookup."
"EVT-00120","CG-0048","Shops and Establishments","SHOPS-0048-1","BWBHN1048Z","29BWBHN1048Z1Z8","renewal","2025-05-05","completed","Synthetic renewal event for prototype lookup."
"EVT-00121","CG-0049","BESCOM","BESCOM-0049-3","BXCIO1049A","29BXCIO1049A1Z9","compliance_filing","2025-05-02","completed","Synthetic compliance filing event for prototype lookup."
"EVT-00122","CG-0051","Shops and Establishments","SHOPS-0051-1","BZEKQ1051C","29BZEKQ1051C1Z1","inspection","2025-04-29","completed","Synthetic inspection event for prototype lookup."
"EVT-00123","CG-0052","Labour","LABOUR-0052-3","CAFLR1052D","29CAFLR1052D1Z2","electricity_usage","2025-04-26","completed","Synthetic electricity usage event for prototype lookup."
"EVT-00124","CG-0054","Factories","FACTORIES-0054-2","CCHNT1054F","29CCHNT1054F1Z4","closure_application","2025-04-23","submitted","Synthetic closure application event for prototype lookup."
"EVT-00125","CG-0055","BWSSB","BWSSB-0055-4","CDIOU1055G","29CDIOU1055G1Z5","water_usage","2025-04-20","completed","Synthetic water usage event for prototype lookup."
"EVT-00126","CG-0057","Factories","FACTORIES-0057-2","CFKQW1057I","29CFKQW1057I1Z7","renewal","2025-04-17","completed","Synthetic renewal event for prototype lookup."
"EVT-00127","CG-0059","Shops and Establishments","SHOPS-0059-1","CHMSY1059K","29CHMSY1059K1Z9","closure_application","2025-04-14","submitted","Synthetic closure application event for prototype lookup."
"EVT-00128","CG-0060","Labour","LABOUR-0060-3","CINTZ1060L","29CINTZ1060L1Z0","license_cancelled","2025-04-11","completed","Synthetic license cancelled event for prototype lookup."
"EVT-00129","CG-0062","Shops and Establishments","SHOPS-0062-1","CKPVB1062N","29CKPVB1062N1Z2","renewal","2025-04-08","completed","Synthetic renewal event for prototype lookup."
"EVT-00130","CG-0063","BESCOM","BESCOM-0063-3","CLQWC1063O","29CLQWC1063O1Z3","compliance_filing","2025-04-05","completed","Synthetic compliance filing event for prototype lookup."
"EVT-00131","CG-0065","Factories","FACTORIES-0065-2","CNSYE1065Q","29CNSYE1065Q1Z5","pollution_consent","2025-04-02","completed","Synthetic pollution consent event for prototype lookup."
"EVT-00132","CG-0066","BWSSB","BWSSB-0066-3","","29COTZF1066R1Z6","inspection","2025-03-30","completed","Synthetic inspection event for prototype lookup."
"EVT-00133","CG-0068","Factories","FACTORIES-0068-2","CQVBH1068T","29CQVBH1068T1Z8","closure_application","2025-03-27","submitted","Synthetic closure application event for prototype lookup."
"EVT-00134","CG-0070","Shops and Establishments","SHOPS-0070-1","CSXDJ1070V","29CSXDJ1070V1Z0","pollution_consent","2025-03-24","completed","Synthetic pollution consent event for prototype lookup."
"EVT-00135","CG-0071","Factories","FACTORIES-0071-2","CTYEK1071W","29CTYEK1071W1Z1","renewal","2025-03-21","completed","Synthetic renewal event for prototype lookup."
"EVT-00136","CG-0073","Shops and Establishments","SHOPS-0073-1","CVAGM1073Y","29CVAGM1073Y1Z3","closure_application","2025-03-18","submitted","Synthetic closure application event for prototype lookup."
"EVT-00137","CG-0074","Labour","LABOUR-0074-3","CWBHN1074Z","29CWBHN1074Z1Z4","license_cancelled","2025-03-15","completed","Synthetic license cancelled event for prototype lookup."
"EVT-00138","CG-0076","Shops and Establishments","SHOPS-0076-1","CYDJP1076B","29CYDJP1076B1Z6","renewal","2025-03-12","completed","Synthetic renewal event for prototype lookup."
"EVT-00139","CG-0077","BWSSB","BWSSB-0077-3","CZEKQ1077C","29CZEKQ1077C1Z7","renewal","2025-03-09","completed","Synthetic renewal event for prototype lookup."
"EVT-00140","CG-0079","Factories","FACTORIES-0079-2","DBGMS1079E","29DBGMS1079E1Z9","pollution_consent","2025-03-06","completed","Synthetic pollution consent event for prototype lookup."
"EVT-00141","CG-0080","KSPCB","KSPCB-0080-4","DCHNT1080F","29DCHNT1080F1Z0","inspection","2025-03-03","completed","Synthetic inspection event for prototype lookup."
"EVT-00142","CG-0082","Factories","FACTORIES-0082-2","DEJPV1082H","29DEJPV1082H1Z2","closure_application","2025-02-28","submitted","Synthetic closure application event for prototype lookup."
"EVT-00143","CG-0084","Shops and Establishments","SHOPS-0084-1","DGLRX1084J","29DGLRX1084J1Z4","pollution_consent","2025-02-25","completed","Synthetic pollution consent event for prototype lookup."
"EVT-00144","CG-0085","Labour","LABOUR-0085-3","DHMSY1085K","29DHMSY1085K1Z5","license_update","2025-02-22","completed","Synthetic license update event for prototype lookup."
"EVT-00145","CG-0087","Shops and Establishments","SHOPS-0087-1","DJOUA1087M","29DJOUA1087M1Z7","closure_application","2025-02-19","submitted","Synthetic closure application event for prototype lookup."
"EVT-00146","CG-0088","BWSSB","BWSSB-0088-3","DKPVB1088N","29DKPVB1088N1Z8","closure_application","2025-02-16","submitted","Synthetic closure application event for prototype lookup."
"EVT-00147","CG-0090","Factories","FACTORIES-0090-2","DMRXD1090P","29DMRXD1090P1Z0","electricity_usage","2025-02-13","completed","Synthetic electricity usage event for prototype lookup."
"EVT-00148","CG-0091","BESCOM","BESCOM-0091-3","","","compliance_filing","2025-02-10","completed","Synthetic compliance filing event for prototype lookup."
"EVT-00149","CG-0093","Factories","FACTORIES-0093-2","DPUAG1093S","29DPUAG1093S1Z3","pollution_consent","2025-02-07","completed","Synthetic pollution consent event for prototype lookup."
"EVT-00150","CG-0095","Shops and Establishments","SHOPS-0095-1","BADPAN095","29DRWCI1095U1Z5","electricity_usage","2025-02-04","completed","Synthetic electricity usage event for prototype lookup."
"EVT-00151","CG-0096","Factories","FACTORIES-0096-2","DSXDJ1096V","29DSXDJ1096V1Z6","closure_application","2025-02-01","submitted","Synthetic closure application event for prototype lookup."
"EVT-00152","CG-0098","Shops and Establishments","SHOPS-0098-1","BADPAN098","29DUZFL1098X1Z8","pollution_consent","2025-01-29","completed","Synthetic pollution consent event for prototype lookup."
"EVT-00153","CG-0099","BWSSB","BWSSB-0099-3","DVAGM1099Y","29DVAGM1099Y1Z9","pollution_consent","2025-01-26","completed","Synthetic pollution consent event for prototype lookup."
"EVT-00154","CG-0101","Shops and Establishments","SHOPS-0101-1","BADPAN101","29DXCIO1101A1Z1","closure_application","2025-01-23","submitted","Synthetic closure application event for prototype lookup."
"EVT-00155","CG-0102","Labour","LABOUR-0102-3","DYDJP1102B","29DYDJP1102B1Z2","license_cancelled","2025-01-20","completed","Synthetic license cancelled event for prototype lookup."
"EVT-00156","CG-0104","Factories","FACTORIES-0104-2","EAFLR1104D","29EAFLR1104D1Z4","electricity_usage","2025-01-17","completed","Synthetic electricity usage event for prototype lookup."
"EVT-00157","CG-0105","BESCOM","BESCOM-0105-4","EBGMS1105E","29EBGMS1105E1Z5","compliance_filing","2025-01-14","completed","Synthetic compliance filing event for prototype lookup."
"EVT-00158","CG-0107","Factories","FACTORIES-0107-2","EDIOU1107G","29EDIOU1107G1Z7","pollution_consent","2025-01-11","completed","Synthetic pollution consent event for prototype lookup."
